gender,points,badges_cnt,user_grade,user_city,has_teacher_cnt,is_self_coach,has_student_cnt,belongs_to_class_cnt,has_class_cnt,total_sec_taken,is_correct
female,36381,1,9,tc,1,0,0,1,0,30.92934782608696,1
no_value,1275,0,9,tp,1,0,0,1,0,14.75,1
female,20160,5,9,ylc,1,0,0,1,0,25.566433566433567,1
no_value,4408,3,10,ntpc,0,0,0,0,0,77.0,0
no_value,10500,1,10,ty,0,0,0,0,0,22.4375,1
female,27874,3,1,tc,0,0,0,0,0,22.40944881889764,1
no_value,3975,0,1,ylc,0,0,0,0,0,16.23076923076923,1
unspecified,16661,1,1,ty,1,1,1,1,1,56.96153846153846,1
no_value,11385,1,2,ml,1,0,0,1,0,29.132075471698112,1
no_value,22410,5,3,ylc,1,0,0,1,0,33.11450381679389,1
unspecified,8829,0,3,tc,0,0,0,0,0,13.961538461538462,1
male,33728,4,3,chc,1,0,0,1,0,52.85333333333333,1
no_value,1012,0,3,tp,0,0,0,0,0,18.6,1
female,72126,8,3,ntpc,1,0,0,1,0,36.25786163522013,1
female,2175,0,3,tc,0,0,0,0,0,18.0,1
no_value,32540,9,3,ylc,1,0,0,1,0,58.890625,1
no_value,18825,1,3,ty,1,0,0,1,0,26.433962264150946,1
male,5025,0,4,kh,1,0,0,1,0,32.15384615384615,1
no_value,6300,0,4,tp,0,0,0,0,0,29.727272727272727,1
female,342343,55,4,tc,1,0,0,1,0,48.89044289044289,1
male,1202797,144,4,ty,0,0,0,0,0,31.64078002052685,1
male,30607,8,4,ty,0,0,0,0,0,34.760416666666664,1
female,69311,4,4,tp,0,0,0,0,0,19.80813953488372,1
no_value,4875,0,5,tc,0,0,0,0,0,22.33333333333333,1
no_value,5401,0,5,tc,0,0,0,0,0,64.72727272727273,1
no_value,4260,0,5,tp,0,0,0,0,0,44.48,1
male,176295,26,5,tp,0,0,0,0,0,17.779411764705884,1
female,25380,2,5,tp,1,0,0,1,0,45.34426229508197,1
no_value,65759,9,5,ntpc,1,0,0,1,0,41.003861003861005,1
female,8105,0,5,ml,1,0,0,1,0,46.0625,1
female,16266,2,6,ptc,1,0,0,1,0,88.0886075949367,1
female,17623,4,6,tc,0,0,0,0,0,29.52,1
female,25474,5,6,ptc,1,0,0,1,0,67.0,1
male,18436,6,6,ptc,1,0,0,1,0,68.08571428571429,1
female,30240,6,6,ptc,1,0,0,1,0,44.80571428571429,1
no_value,3525,0,6,tp,0,0,0,0,0,106.60714285714286,1
male,37890,4,6,ptc,1,0,0,1,0,39.09,1
unspecified,23776,2,6,tn,0,0,0,0,0,29.62745098039216,1
unspecified,17918,2,6,ptc,1,0,0,1,0,60.85858585858586,1
no_value,7065,0,6,tc,1,0,0,1,0,40.43589743589744,1
male,8025,3,6,ptc,1,0,0,1,0,84.18518518518519,0
female,28336,11,6,ptc,1,0,0,1,0,25.2054794520548,0
no_value,23166,3,6,tp,0,0,0,0,0,30.527027027027028,1
no_value,225,0,7,tp,0,0,0,0,0,56.0,0
no_value,13540,3,7,ty,0,0,0,0,0,46.01739130434783,0
no_value,4916,0,7,ntpc,0,0,0,0,0,81.11111111111111,1
female,4921,0,7,ntpc,0,0,0,0,0,14.181818181818182,1
no_value,29100,11,7,tp,1,0,0,1,0,65.82386363636364,1
no_value,9520,2,7,ntpc,0,0,0,0,0,146.8139534883721,1
